	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82
141_reca	49856	65	0	27	139	39	316	336	2	689	166	458	0	0	0	2	61	0	531	0	0	0	302	344	472	324	23	135	115	305	16	1	0	173	64	0	204	145	0	19	0	59	0	19	0	130	0	185	19	0	0	56	0	1	1	0	0	0	0	0	0	60	110	92	0	0	0	34	61	77	0	104	0	22	21	0	0	56	106	0	79	0	
142_reca	21671	220	0	9	770	24	1122	1445	60	1331	568	1900	0	0	0	0	221	0	1636	0	0	5	1190	1207	178	774	8	447	496	1018	135	2	0	782	316	0	92	381	0	139	0	23	0	6	0	505	0	20	1	0	0	90	15	3	0	0	1	0	0	0	0	309	359	298	0	0	0	152	315	320	0	227	0	39	11	0	0	192	165	11	300	0	
143_reca	47433	86	0	7	150	20	729	372	3	625	713	122	0	0	0	1	215	0	407	0	0	1	134	229	323	280	25	146	441	203	40	0	0	53	175	0	154	229	0	35	0	41	0	1	0	73	0	6	0	0	0	110	3	1	0	0	0	0	0	0	0	59	48	55	0	0	0	216	37	30	0	100	0	35	19	0	0	54	94	0	61	0	
144_reca	29392	199	0	5	820	22	1352	1209	27	1103	296	496	0	0	0	0	228	1	668	0	0	5	358	412	151	638	9	283	204	353	120	0	0	212	125	1	197	416	0	176	0	44	0	11	0	158	0	151	193	0	0	96	6	0	0	0	0	0	0	0	0	79	102	157	0	0	0	110	83	71	0	119	0	30	15	0	0	171	120	8	113	0	
145_reca	17508	678	0	4	169	17	1168	852	35	1331	939	2169	0	0	0	3	649	0	1434	0	0	6	1174	1199	117	700	8	397	876	916	276	0	0	784	698	1	110	269	0	33	0	18	1	7	0	536	0	13	0	0	0	212	8	3	0	0	0	0	0	0	0	355	337	268	0	0	0	310	299	311	0	194	0	70	9	0	0	194	153	8	242	0	
146_reca	27735	1038	0	5	269	17	1753	1137	23	1698	1452	2039	0	0	0	2	992	0	1690	0	0	11	1227	1317	171	844	8	603	1444	1028	386	0	0	735	1025	7	241	345	0	57	0	36	0	8	0	550	0	28	20	0	0	363	14	1	0	0	0	0	0	0	0	386	367	314	0	0	0	480	299	256	0	262	0	75	13	0	0	231	215	7	264	0	
147_reca	15510	69	0	3	770	10	782	1349	79	1108	349	1555	0	0	0	0	67	0	1037	0	0	1	809	864	101	1024	5	408	413	661	84	0	0	768	261	1	92	321	0	135	0	13	0	9	0	365	0	28	831	0	0	34	21	0	0	0	0	0	0	0	0	218	232	351	0	0	0	132	207	174	0	147	0	23	12	0	0	261	124	17	184	0	
148_reca	38077	152	0	19	13	23	617	638	9	903	22	763	0	0	0	0	255	0	1341	0	0	0	591	822	230	709	14	396	2	618	61	0	0	372	1	1	94	283	0	5	0	44	0	5	0	277	0	74	1	0	0	96	0	0	0	0	1	0	0	0	0	129	224	241	0	0	0	0	146	152	0	206	0	5	17	0	0	120	162	2	194	0	
149_reca	24048	413	0	13	1325	10	1439	1536	56	1634	1907	1607	0	0	0	3	362	0	1183	0	0	6	940	880	192	792	15	334	2069	750	221	0	0	706	1799	2	268	414	0	219	0	23	0	22	0	366	0	49	300	0	0	128	90	3	0	0	1	0	0	0	0	253	282	282	0	0	0	621	243	207	0	142	0	130	15	0	1	204	146	13	189	0	
14_reca	34699	1	1835	20	4315	354	2261	2178	514	1197	1092	103	1008	123	670	835	1	1176	116	470	5	0	68	52	361	153	10	218	136	39	130	0	10	27	113	0	405	502	32	561	1	534	0	2	0	15	0	30	162	44	191	24	128	0	0	0	248	52	0	79	82	13	17	26	0	0	0	29	12	13	99	43	86	17	94	41	0	40	62	67	11	0	
150_reca	27671	925	0	10	653	461	2365	925	13	1197	790	508	0	0	0	1	1031	0	699	0	0	8	434	469	208	439	12	254	680	396	324	0	0	279	386	1	129	282	0	156	0	24	0	0	0	183	0	8	0	0	0	388	17	6	0	0	0	0	0	0	0	160	123	127	0	0	0	279	90	91	0	132	0	52	17	0	0	127	105	5	129	0	
151_reca	33618	716	0	11	334	27	1725	593	5	831	574	190	0	0	0	0	998	0	379	1	0	5	194	216	253	248	17	145	475	174	208	0	0	111	284	0	96	197	0	92	0	31	0	1	0	85	0	8	2	0	0	306	5	1	0	0	0	0	0	0	0	61	68	58	0	0	0	186	42	32	0	74	0	45	20	0	0	48	68	2	62	0	
152_reca	14941	144	0	6	457	12	739	559	11	490	223	312	0	0	0	1	192	0	446	0	0	1	265	316	165	238	7	140	174	241	66	0	0	147	88	0	30	195	0	98	0	14	0	0	0	111	0	3	0	0	0	75	3	3	0	0	1	0	0	0	0	62	77	89	0	0	0	58	57	43	0	81	0	11	6	0	0	52	45	5	68	0	
153_reca	12963	179	0	7	489	6	676	896	38	926	261	1095	0	0	0	0	132	0	795	0	0	1	661	603	120	555	3	245	268	497	88	0	0	538	195	0	112	240	0	88	0	9	0	9	0	302	0	101	323	0	0	50	6	4	0	1	0	0	0	0	0	165	194	203	0	0	0	91	149	161	0	112	0	22	5	0	0	167	78	12	119	0	
154_reca	27435	1256	0	15	758	380	2695	1270	33	1511	563	840	0	0	0	0	1391	0	991	0	0	7	679	731	186	813	8	412	519	578	470	0	0	426	269	3	103	392	0	168	0	32	0	3	0	268	0	14	235	0	0	435	7	9	1	0	0	0	0	0	0	239	210	285	0	0	0	176	139	119	0	165	0	37	23	0	0	246	148	7	166	1	
